Fase;Tipo de tronadura;Tipo Material;M;Dominio Estructural;Banco;Diámetro;Fc;Cota;B;S;tiempo_1;tiempo_2
Stage 4;Tronadura 2;Roca 1;L4;Norte;2810.0;12.25;452.0;2810.0;4.5;10.0;4.0;175.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;524.0;2885.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;503.0;2915.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3485.0;12.25;204.0;3485.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;484.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2810.0;12.25;444.0;2810.0;7.0;7.0;7.0;84.0
Stage 4;Tronadura 1;Roca 2;L1;Sureste;2915.0;12.25;315.0;2915.0;7.5;9.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3485.0;12.25;180.0;3485.0;10.5;10.5;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3410.0;12.25;160.0;3410.0;13.0;14.0;7.0;85.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3440.0;12.25;134.0;3440.0;13.0;14.0;7.0;43.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2825.0;12.25;476.0;2825.0;7.0;7.0;5.0;36.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3455.0;12.25;123.0;3455.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;523.0;2855.0;7.0;7.0;7.0;31.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;10.625;467.0;2930.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;491.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;553.0;2855.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;531.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;154.0;3425.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L2;Norte;3425.0;12.25;154.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;481.0;2840.0;7.0;7.0;7.0;31.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3485.0;12.25;204.0;3485.0;11.0;12.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;200.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2885.0;12.25;494.0;2885.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2810.0;12.25;440.0;2825.0;7.0;7.0;5.0;36.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;485.0;2840.0;7.0;7.0;5.0;36.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3395.0;12.25;191.0;3395.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;200.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;545.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2885.0;12.25;503.0;2885.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2945.0;10.625;344.0;2945.0;7.5;9.0;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3440.0;12.25;155.0;3440.0;13.0;14.0;7.0;43.0
Stage 6;Tronadura 2;Lastre;L3;Norte;3515.0;12.25;188.0;3515.0;10.0;11.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3425.0;12.25;149.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2960.0;12.25;433.0;2960.0;7.0;7.0;5.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2990.0;12.25;491.0;2990.0;6.0;6.0;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;152.0;3410.0;13.0;14.0;7.0;85.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2975.0;10.625;449.0;2975.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;174.0;3500.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 1;Roca 2;L8;Norte;3560.0;12.25;186.0;3560.0;9.5;11.0;17.0;120.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;148.0;3455.0;13.0;14.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;143.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;488.0;2900.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3515.0;12.25;237.0;3515.0;10.5;10.5;17.0;120.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;491.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3485.0;12.25;204.0;3485.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2900.0;12.25;499.0;2900.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;528.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;495.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;488.0;2900.0;7.5;7.5;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3410.0;12.25;160.0;3410.0;13.0;14.0;7.0;85.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2915.0;10.625;451.0;2915.0;6.5;6.5;4.0;30.0
Stage 6;Tronadura 2;Roca 2;L1;Norte;3485.0;12.25;209.0;3485.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;532.0;2840.0;7.0;7.0;7.0;31.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2870.0;12.25;548.0;2870.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3440.0;12.25;143.0;3440.0;13.0;14.0;7.0;42.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2930.0;10.625;480.0;2930.0;6.5;6.5;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;492.0;2960.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3425.0;12.25;149.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2930.0;12.25;545.0;2930.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 2;L2;Noreste;2945.0;12.25;461.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;474.0;2900.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;486.0;2915.0;7.0;7.0;4.0;30.0
Stage 6;Tronadura 2;Lastre;L1;Noreste;3515.0;12.25;208.0;3515.0;10.0;11.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3440.0;12.25;155.0;3440.0;13.0;14.0;7.0;43.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2930.0;12.25;495.0;2930.0;7.0;7.0;3.0;11.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;545.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;143.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2945.0;10.625;488.0;2945.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;532.0;2840.0;7.0;7.0;7.0;31.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;505.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2975.0;10.625;468.0;2975.0;7.5;9.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3395.0;12.25;192.0;3395.0;14.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;534.0;2915.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3440.0;12.25;140.0;3440.0;13.0;14.0;7.0;61.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;494.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;10.625;452.0;2930.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 1;Roca 2;L1;Sureste;2915.0;12.25;315.0;2915.0;7.5;9.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;198.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;525.0;2915.0;7.0;7.0;3.0;11.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;534.0;2915.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;520.0;2870.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;180.0;3455.0;13.0;14.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L7;Norte;3410.0;12.25;192.0;3410.0;10.0;11.0;5.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;204.0;3500.0;10.5;10.5;11.0;150.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2990.0;10.625;385.0;2990.0;6.5;8.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3440.0;12.25;134.0;3440.0;13.0;14.0;7.0;43.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;499.0;2855.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3530.0;10.625;104.0;3530.0;8.5;10.0;9.0;94.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3530.0;10.625;208.0;3530.0;8.5;10.0;9.0;94.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2990.0;12.25;471.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L3;Noreste;2945.0;12.25;461.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3395.0;12.25;163.0;3395.0;18.0;9.0;7.0;200.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;12.25;518.0;2930.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2960.0;10.625;474.0;2960.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2975.0;12.25;542.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;12.25;518.0;2930.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;507.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3485.0;12.25;180.0;3485.0;10.5;10.5;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;200.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;495.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;547.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2810.0;12.25;440.0;2810.0;7.0;7.0;5.0;36.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2825.0;12.25;521.0;2825.0;7.0;7.0;5.0;72.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;499.0;2855.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;219.0;3500.0;10.5;10.5;11.0;105.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2930.0;10.625;500.0;2936.0;6.5;6.5;4.0;24.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3485.0;12.25;204.0;3485.0;10.5;10.5;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;135.0;3410.0;14.0;14.0;7.0;85.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;168.0;3455.0;13.0;14.0;19.0;42.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;200.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2825.0;12.25;495.0;2825.0;7.0;7.0;5.0;72.0
Stage 4;Tronadura 2;Roca 1;L4;Sureste;2915.0;12.25;467.0;2917.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L2;Norte;3425.0;12.25;154.0;3425.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3395.0;12.25;163.0;3395.0;18.0;9.0;7.0;200.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;212.0;3500.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;10.625;450.0;2930.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;166.0;3410.0;14.0;14.0;7.0;85.0
Stage 4;Tronadura 2;Roca 1;L4;Sureste;2945.0;12.25;498.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3425.0;12.25;149.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;524.0;2885.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;152.0;3455.0;13.0;14.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3545.0;10.625;217.0;3545.0;8.5;10.0;17.0;120.0
Stage 2;Tronadura 2;Roca 2;L2;Norte;3425.0;12.25;149.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2930.0;10.625;500.0;2941.0;6.5;6.5;4.0;24.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3410.0;12.25;160.0;3410.0;13.0;14.0;7.0;85.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;545.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;491.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2915.0;12.25;534.0;2924.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;152.0;3455.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;504.0;2840.0;7.0;7.0;5.0;36.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;10.625;450.0;2930.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2915.0;12.25;517.0;2915.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3515.0;12.25;167.0;3515.0;13.5;14.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3395.0;12.25;179.0;3395.0;9.0;18.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;484.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;168.0;3455.0;13.0;14.0;19.0;42.0
Stage 6;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;207.0;3500.0;13.0;14.0;7.0;85.0
Stage 4;Tronadura 1;Roca 1;L4;Sureste;2930.0;12.25;673.0;2930.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;152.0;3455.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2840.0;12.25;523.0;2840.0;7.0;7.0;5.0;36.0
Stage 3;Tronadura 2;Lastre;L8;Norte;3875.0;7.875;186.0;3875.0;7.0;8.0;4.0;84.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2960.0;10.625;474.0;2960.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;555.0;2855.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;520.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2810.0;12.25;440.0;2810.0;7.0;7.0;5.0;36.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2885.0;12.25;523.0;2885.0;7.0;7.0;2.0;25.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2975.0;10.625;462.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;10.625;446.0;2930.0;6.5;6.5;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Sureste;2915.0;12.25;464.0;2915.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2975.0;12.25;462.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;534.0;2960.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;126.0;3425.0;13.0;14.0;7.0;43.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;512.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2915.0;12.25;511.0;2915.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;513.0;2885.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;200.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2975.0;10.625;463.0;2975.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;135.0;3410.0;14.0;14.0;7.0;85.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2870.0;12.25;492.0;2870.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;152.0;3410.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3455.0;12.25;144.0;3455.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;505.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;484.0;2945.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;154.0;3425.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3455.0;12.25;180.0;3455.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2885.0;12.25;508.0;2885.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2885.0;12.25;508.0;2885.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;553.0;2855.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;555.0;2855.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3425.0;12.25;154.0;3425.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;212.0;3500.0;10.5;10.5;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L7;Norte;3545.0;7.875;172.0;3545.0;5.0;5.5;5.0;87.0
Stage 2;Tronadura 1;Roca 2;L1;Norte;3590.0;10.625;228.0;3590.0;10.0;12.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2990.0;12.25;468.0;2975.0;7.5;9.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;532.0;2840.0;7.0;7.0;7.0;31.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;511.0;2915.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;166.0;3410.0;14.0;14.0;7.0;85.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2975.0;12.25;513.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;493.0;2900.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 2;L1;Noroeste;2945.0;10.625;445.0;2945.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3500.0;12.25;169.0;3500.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Sureste;2915.0;12.25;495.0;2915.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2990.0;10.625;471.0;2990.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3515.0;12.25;215.0;3515.0;10.5;10.5;4.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2870.0;12.25;492.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;531.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2990.0;10.625;503.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;481.0;2840.0;7.0;7.0;7.0;31.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2975.0;10.625;479.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2930.0;12.25;504.0;2930.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;507.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2960.0;10.625;426.0;2960.0;6.5;6.5;17.0;120.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2870.0;12.25;548.0;2870.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3440.0;12.25;163.0;3440.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;515.0;3500.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3455.0;12.25;123.0;3455.0;13.0;14.0;4.0;30.0
Stage 1;Tronadura 2;Roca 2;L1;Norte;3440.0;12.25;149.0;3440.0;13.0;14.0;7.0;42.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;525.0;2915.0;7.0;7.0;3.0;11.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2960.0;10.625;490.0;2960.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;493.0;2908.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3440.0;12.25;155.0;3440.0;13.0;14.0;7.0;43.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3515.0;12.25;197.0;3515.0;10.5;10.5;17.0;120.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3440.0;12.25;155.0;3440.0;13.0;14.0;7.0;43.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2915.0;12.25;534.0;2915.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;520.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;487.0;2885.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3440.0;12.25;163.0;3440.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2975.0;12.25;468.0;2975.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3455.0;12.25;152.0;3455.0;13.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2960.0;12.25;492.0;2960.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;212.0;3500.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2945.0;10.625;425.0;2945.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2885.0;12.25;523.0;2885.0;7.0;7.0;2.0;25.0
Stage 4;Tronadura 2;Roca 2;L2;Norte;2945.0;12.25;461.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;481.0;2840.0;7.0;7.0;7.0;31.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;143.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2900.0;12.25;450.0;2900.0;7.5;7.5;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;523.0;2855.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2960.0;12.25;465.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2975.0;12.25;542.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;463.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2960.0;10.625;453.0;2960.0;6.5;6.5;17.0;120.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2975.0;12.25;513.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2930.0;12.25;518.0;2930.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2975.0;12.25;509.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;505.0;2870.0;7.0;7.0;4.0;30.0
